adm1_code,state,st,disease,cases1993,cases1994,cases1995,cases1996,cases1997,cases1998,cases1999,cases2000,cases2001,cases2002,cases2003,cases2004,cases2005,cases2006,cases2007,cases2008,cases2009,cases2010,cases2011,cases2012,cases2013
,District of Columbia,DC,Measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
USA-3542,Florida,FL,Measles,24,18,10,0,3,2,0,2,0,1,0,0,0,0,4,0,0,0,3,0,5
USA-3543,Georgia,GA,Measles,0,5,4,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0
,Maryland,MD,Measles,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,3,0,0,0,0
,North Carolina,NC,Measles,1,2,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,21
,South Carolina,SC,Measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Virginia,VA,Measles,0,1,0,0,0,0,15,2,1,0,0,0,0,0,0,0,1,1,3,0,0
,West Virginia,WV,Measles,0,37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
USA-3541,Alabama,AL,Measles,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
USA-3548,Kentucky,KY,Measles,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
,Mississippi,MS,Measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Tennessee,TN,Measles,0,28,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
USA-3528,Arkansas,AR,Measles,0,5,2,0,0,0,5,1,0,0,0,0,0,0,0,2,0,0,0,2,0
,Louisiana,LA,Measles,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Oklahoma,OK,Measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Texas,TX,Measles,7,11,12,24,3,0,3,0,0,0,0,0,0,0,5,0,0,0,5,0,23
USA-3520,Arizona,AZ,Measles,0,5,10,8,5,9,1,0,1,0,0,0,0,0,0,13,0,0,0,2,0
USA-3522,Colorado,CO,Measles,3,24,26,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
USA-3518,Idaho,ID,Measles,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Montana,MT,Measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Nevada,NV,Measles,1,0,1,5,1,0,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0
,New Mexico,NM,Measles,0,2,30,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0
,Utah,UT,Measles,0,131,0,117,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12,1,0
,Wyoming,WY,Measles,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
USA-3563,Alaska,AK,Measles,2,10,0,63,0,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
USA-3521,California,CA,Measles,89,51,106,37,16,5,13,13,25,5,0,3,2,0,1,13,6,9,12,5,7
USA-3517,Hawaii,HI,Measles,11,8,0,40,2,0,0,0,2,0,14,1,1,0,0,1,0,4,0,0,0
,Oregon,OR,Measles,0,0,0,13,0,0,12,0,3,0,0,0,0,0,0,0,0,0,2,0,3
,Washington,WA,Measles,0,3,20,36,1,0,4,2,13,0,0,0,0,0,0,19,0,0,2,0,1
